,Polarity,Sentiment,Subjectiivity,Tweet,X,y,NaiveBayes,SVM,RandomForest,LogisticRegression
  (0, 1342)	0.32354876983140246
  (0, 253)	0.49106880151842447
  (0, 999)	0.2844196132519044
  (0, 1163)	0.3243915072447918
  (0, 247)	0.4577061448909613
  (0, 1397)	0.49106880151842447",Positive,Positive,Positive,Positive,Positive
8,0.3214285714285714,Positive,0.6339285714285714,the h1b visa approval rate dropped nearly 30 from 2016 to 2017 challenging employers and recruiters to find the right talent advanced technology like artificialintelligence can help,"  (0, 2102)	0.06243626394462706
  (0, 156)	0.2446228165642634
  (0, 1596)	0.2473238939620352
  (0, 589)	0.31468236905207
  (0, 1337)	0.2893142681079206
  (0, 40)	0.24087235293206619
  (0, 28)	0.26030455189907203
  (0, 29)	0.27922111181325243
  (0, 326)	0.2893142681079206
  (0, 639)	0.1759764806702981
  (0, 1620)	0.29330320630962287
  (0, 1702)	0.2073336629808453
  (0, 1949)	0.21010634377283566
  (0, 97)	0.27109526056962
  (0, 1967)	0.253312975328433
  (0, 1176)	0.1585862561295533
  (0, 934)	0.19489304058447848",Positive,Positive,Neutral,Neutral,Neutral
9,-0.12083333333333335,Negative,0.5791666666666667,omg brainiac h1b immigrants where does this guy get that crap from where is your buddy sachin and the other list of indian h1b low skilled morons stephen moore u s needs more brainiac immigrants so let s boost h1b visas,"  (0, 2103)	0.0747364390855724
  (0, 1897)	0.2725251407896662
  (0, 1342)	0.18331597801839802
  (0, 253)	0.5564586610641812
  (0, 999)	0.32229242965786103
  (0, 1163)	0.18379345544236927
  (0, 247)	0.25932674582394183
  (0, 1388)	0.2782293305320906
  (0, 562)	0.18191943541477973
  (0, 885)	0.2285057875204033
  (0, 450)	0.25579988917564367
  (0, 1184)	0.24432292026071148
  (0, 1036)	0.149409567747019
  (0, 1221)	0.1906363192400814
  (0, 1823)	0.15961479683071797",Negative,Positive,Positive,Positive,Positive
10,0.4625,Positive,0.6125,got an advanced degree gained in the us you ve got better chances in the h1b lottery now but that doesn t guarantee a visa the government s becoming much more restrictive i ve had a lot of people ask if they can go to canada via twitter com g0f0rr3ejb,"  (0, 2102)	0.05876445794052323
  (0, 170)	0.1668396262171493
  (0, 2046)	0.11113967534547413
  (0, 374)	0.10972850731363658
  (0, 97)	0.2551524551780863
  (0, 858)	0.40836749526714844
  (0, 500)	0.2029331379997143
  (0, 2096)	0.4448885852052677
  (0, 228)	0.20547536809336994
  (0, 329)	0.1972142887298752
  (0, 1217)	0.17688005999567707
  (0, 563)	0.20418374763357422
  (0, 881)	0.2723000235071594
  (0, 860)	0.20482426409986634
  (0, 1685)	0.29617625515172924
  (0, 1215)	0.22244429260263385
  (0, 1450)	0.14622841365632555
  (0, 291)	0.21111223836431034",Positive,Positive,Neutral,Neutral,Neutral
11,-0.16666666666666666,Negative,0.3333333333333333,hold off on filing form i 907 for cap subject h1b visa petitions jobs time,"  (0, 2102)	0.10076237918710836
  (0, 1999)	0.2730625093328047
  (0, 956)	0.4336447695269581
  (0, 764)	0.33907882604300604
  (0, 800)	0.4336447695269581
  (0, 299)	0.2860769633464969
  (0, 1919)	0.4336447695269581
  (0, 1462)	0.326456591495748
  (0, 1092)	0.21852245917498175",Negative,Positive,Positive,Positive,Positive
12,0.09166666666666666,Positive,0.44166666666666665,2020 h 1b limits for cap subject petitions have been reached according to check out our article for full details uscis usimmigration h1b expressentry canada welcometocanada immigrate h1bvisa pic twitter com z6uutpmfyg,"  (0, 898)	0.13248980583215364
  (0, 2046)	0.12404438536120022
  (0, 374)	0.12246936302460859
  (0, 1467)	0.15727568270378323
  (0, 32)	0.2047303106810757
  (0, 291)	0.23562501661738458
  (0, 299)	0.18621179901477408
  (0, 1919)	0.28226590398038337
  (0, 1462)	0.21249550642435128
  (0, 19)	0.15243063783833072
  (0, 1180)	0.3081077516746744
  (0, 1599)	0.2598076231857686
  (0, 78)	0.28226590398038337
  (0, 340)	0.24501473179962124
  (0, 166)	0.262840872123552
  (0, 533)	0.29028161135074365
  (0, 2080)	0.17322181192483635
  (0, 2085)	0.27148917561075714
  (0, 1000)	0.29657299294733475",Positive,Positive,Negative,Negative,Negative
13,0.5,Positive,0.5,stephen moore u s needs more brainiac immigrants so let s boost h1b visas commentary dallas news,"  (0, 2103)	0.11507933126386612
  (0, 1897)	0.4196348038305196
  (0, 1342)	0.2822703411943975
  (0, 253)	0.42841812758787423
  (0, 999)	0.24813329167293172
  (0, 1163)	0.2830055619691161
  (0, 247)	0.3993118865896692
  (0, 474)	0.4120263427163299
  (0, 1345)	0.27670701646359835",Positive,Positive,Negative,Negative,Negative
14,0.5,Positive,0.5,oh boy this piece opinion stephen moore u s needs more brainiac immigrants so let s boost h1b visas,"  (0, 2103)	0.09660730768529072
  (0, 1897)	0.35227688729053946
  (0, 1342)	0.2369615586283954
  (0, 253)	0.35965035089523034
  (0, 999)	0.2083040368095859
  (0, 1163)	0.237578765026971
  (0, 247)	0.33521611454023753
  (0, 1397)	0.35965035089523034
  (0, 1384)	0.28428798449543546
  (0, 251)	0.35965035089523034
  (0, 1469)	0.35965035089523034",Positive,Positive,Positive,Positive,Positive
15,0.8,Positive,1.0,happy anniversary,"  (0, 916)	1.0",Positive,Positive,Neutral,Neutral,Neutral
16,-0.3625,Negative,0.825,what about the endless stream of h1b visa holders under cutting college educated workers,"  (0, 2168)	0.23057803289440856
  (0, 2102)	0.10863273598667698
  (0, 647)	0.5362902269933335
  (0, 958)	0.26144389852516375
  (0, 470)	0.5179898830660018
  (0, 372)	0.3675864915468958
  (0, 615)	0.41909334526750763",Negative,Positive,Negative,Negative,Negative
17,-0.15,Negative,0.4,if i could prove that h1b visas candidates lowered the average salary for workers would you reconsider the number of tech workers let into the country,"  (0, 2168)	0.37904379064515553
  (0, 2103)	0.12088354085747642
  (0, 1163)	0.2972793988065916
  (0, 1558)	0.3913208617313186
  (0, 298)	0.364609401736063
  (0, 191)	0.3810351706682434
  (0, 1722)	0.3622619386249644
  (0, 1357)	0.287942133136735
  (0, 1963)	0.2325700436737336
  (0, 440)	0.23204501717468504",Negative,Positive,Positive,Positive,Positive
18,0.25,Positive,0.25,want more chances getting an h1b visa this year ask multiple employers to submit an h1b visa request for you h1blottery h1bvisa h1battorneypic twitter com jydvvmgnix,"  (0, 2102)	0.18152593502688405
  (0, 170)	0.2576873863046324
  (0, 898)	0.183344728731111
  (0, 2046)	0.1716576157827475
  (0, 374)	0.16947803644655565
  (0, 2121)	0.24411131411319284
  (0, 639)	0.2558152360361179
  (0, 329)	0.30460170498454975
  (0, 839)	0.2604091218007396
  (0, 2192)	0.23748860307924638
  (0, 1326)	0.30297920661758254
  (0, 1920)	0.3054294739854148
  (0, 1665)	0.3006238124817182
  (0, 894)	0.30798257934323986
  (0, 891)	0.3106475345430761",Positive,Neutral,Neutral,Positive,Neutral
19,0.4375,Positive,0.6875,this week saw some significant changes to immigration policy by and an update on the h1b visa outcomes and more check out our weekly news roundup to read all the stories pic twitter com 1vwy3kck6b,"  (0, 2102)	0.07270132959732296
  (0, 1001)	0.1391553480800045
  (0, 2046)	0.13749811453734034
  (0, 374)	0.1357522668635021
  (0, 1467)	0.17433364493986436
  (0, 340)	0.27158878298459155
  (0, 1345)	0.23666290416895783
  (0, 2141)	0.3031008876521101
  (0, 1731)	0.35890666103859525
  (0, 1809)	0.35890666103859525
  (0, 332)	0.2446496568510944
  (0, 1484)	0.26118066874515405
  (0, 2073)	0.3368800538990647
  (0, 1602)	0.24080031178795872
  (0, 1904)	0.35890666103859525",Positive,Neutral,Neutral,Neutral,Neutral
20,0.075,Positive,0.04166666666666667,american public universities subsidies worth 9 billion from international students h1b h1bvisa,"  (0, 898)	0.19165741362738098
  (0, 127)	0.21520052236968557
  (0, 1564)	0.40488227735547233
  (0, 2067)	0.40488227735547233
  (0, 2179)	0.4598948321212975
  (0, 231)	0.4016200998687808
  (0, 1061)	0.3514753805461538
  (0, 1913)	0.3045651811678752",Positive,Positive,Positive,Positive,Positive
21,-0.11979166666666664,Negative,0.796875,i mean that its impossible to get h1b visa its a lottery now because according to statistics there were 300000 applications and only 65000 cap per year and most of the world need h1b visa to work in us so you can say goodbye to uk sweden russia spain brasil etc,"  (0, 2102)	0.14368462905589954
  (0, 2165)	0.1478612151857414
  (0, 1339)	0.18133522322277085
  (0, 1217)	0.21624419503356204
  (0, 299)	0.20396929236630498
  (0, 78)	0.30918329020303537
  (0, 2192)	0.18798119306418437
  (0, 1266)	0.2814753513104002
  (0, 1020)	0.34823543670215307
  (0, 1887)	0.35466593762902066
  (0, 148)	0.24661343101489272
  (0, 2175)	0.23221530637700957
  (0, 1732)	0.24885370573815008
  (0, 2049)	0.32128589493314424
  (0, 1717)	0.3148553940062766",Negative,Negative,Negative,Negative,Negative
22,-0.2,Negative,0.3,eeuu aumenta la dificultad para obtener una green card eeuu usa trump donaldtrump inmigraci n visa greencard residencia ciudadan a h1b,"  (0, 2102)	0.06590822945368653
  (0, 617)	0.5625129512665404
  (0, 1122)	0.2555474750907702
  (0, 1431)	0.27281575158036714
  (0, 1371)	0.3253709760083846
  (0, 2050)	0.28884873335787786
  (0, 873)	0.1841842013852428
  (0, 303)	0.20407892087916876
  (0, 2078)	0.17186380161741613
  (0, 2033)	0.16319418970920285
  (0, 572)	0.28884873335787786
  (0, 874)	0.21943317158908082
  (0, 1674)	0.2947480829734202",Negative,Positive,Positive,Neutral,Positive
23,-0.03125,Negative,0.375,exactly no changes under this we need major reform and an end to the h1b visa,"  (0, 2102)	0.11316515853076556
  (0, 1339)	0.285637084746666
  (0, 332)	0.3808158304036155
  (0, 687)	0.5008521462799326
  (0, 1234)	0.4753284785354898
  (0, 1629)	0.4283702176257481
  (0, 643)	0.3166912182826169",Negative,Positive,Positive,Positive,Positive
24,0.4,Positive,0.725,dems must hammer the final nails into bernie s political coffin by publicizing the muellerreport like trump bernie was favored by russia consequently bernie cannot be favored by democrats this is one fence bernie can t straddle russia or usa he s already chosen russia,"  (0, 1176)	0.10482919882346207
  (0, 1717)	0.5426323796787305
  (0, 2078)	0.10762134049444476
  (0, 2033)	0.1021924180200919
  (0, 511)	0.18662185668447315
  (0, 768)	0.18883625891807143
  (0, 226)	0.704492712148369
  (0, 1485)	0.18457164044573765
  (0, 509)	0.16853081163961506
  (0, 347)	0.20801235514790656",Positive,Positive,Positive,Neutral,Positive
25,-0.14027777777777778,Negative,0.2069444444444445,where s the collusion and obstruction the economy is stronger than ever h1b visas outsourcing and foreign competition have driven wages down but that has nothing to do with collusion and obstruction you are a lost puppy,"  (0, 2103)	0.13037064958917463
  (0, 613)	0.338901331297749
  (0, 1416)	0.3435140042399722
  (0, 795)	0.2491384573887928
  (0, 388)	0.4667748878781172
  (0, 585)	0.4753943333244634
  (0, 2113)	0.30570535687192457
  (0, 1214)	0.3882566238719338",Negative,Positive,Positive,Positive,Positive
26,0.0,Neutral,0.0,h1b visa indiamerican,"  (0, 2102)	1.0",Neutral,Positive,Negative,Positive,Negative
27,0.0,Neutral,0.0,the day validates every h1b holder s or aspiring visa applicant s degree experience letters references like what the saudis uae do will be the doomsday for indians,"  (0, 2102)	0.1195577496400291
  (0, 1176)	0.3036731333492654
  (0, 500)	0.41287251098600525
  (0, 479)	0.45256843976602973
  (0, 957)	0.43106929334172006
  (0, 702)	0.47631170192593836
  (0, 1037)	0.3248277951915291",Neutral,Positive,Positive,Positive,Positive
28,0.0,Neutral,0.0,immigration h1bvisa,"  (0, 1001)	0.6878104948689576
  (0, 898)	0.7258902969100217",Neutral,Positive,Positive,Positive,Positive
29,0.16666666666666666,Positive,0.3333333333333333,these are the 5 main advantages of the eb 5 visa eb5 visa visas immigration news regionalcenter h1b immigrant usa unitedstates investors entrepreneurs,"  (0, 2102)	0.15044190955390144
  (0, 1001)	0.1439780840718254
  (0, 998)	0.24038007096711766
  (0, 2103)	0.10183658693972295
  (0, 1345)	0.24486497991820103
  (0, 2078)	0.19614787647030904
  (0, 1231)	0.3791179477452775
  (0, 603)	0.2702324617872794
  (0, 607)	0.2692720139550584
  (0, 1635)	0.3485553763590504
  (0, 2066)	0.3533611049712621
  (0, 1074)	0.3485553763590504
  (0, 662)	0.36461244613316995",Positive,Neutral,Neutral,Neutral,Neutral
30,0.325,Positive,0.425,join me in supporting juli n castro via secure actblue com donate juliandebate,"  (0, 374)	0.22587737067488042
  (0, 1093)	0.5043277223570831
  (0, 1935)	0.5682610500622947
  (0, 1758)	0.6096821638044021",Positive,Positive,Positive,Positive,Positive
31,-0.2,Negative,0.0,waste of money millions of indians on h1b visas and their spouses on h4ead have already taken all us data science jobs for pennies a day buy if you want to hand over all of your life savings to berkeley and end up in a debt hole with no job prospects whatsoever do it,"  (0, 2103)	0.08338740509001427
  (0, 487)	0.25871199470730705
  (0, 2121)	0.16565886722568088
  (0, 1092)	0.13357744470864352
  (0, 643)	0.1723688364741345
  (0, 479)	0.23315353167269973
  (0, 1037)	0.16734429752440313
  (0, 2131)	0.3104352063982902
  (0, 1316)	0.2050680967595762
  (0, 1299)	0.2228952307752357
  (0, 1866)	0.18158183321202878
  (0, 903)	0.1914836054794225
  (0, 1946)	0.24833589826937993
  (0, 476)	0.22912230201677883
  (0, 1742)	0.26284417137910465
  (0, 279)	0.27260402788561844
  (0, 910)	0.26743637853636104
  (0, 1174)	0.24833589826937993
  (0, 1730)	0.3040707396591508
  (0, 1091)	0.1667041713852506",Negative,Positive,Positive,Positive,Positive
32,0.16232142857142856,Positive,0.455,tata and infosys are two biggest scammers and have a very long history of h1b l1 visa fraud since many decade these two are pure scammers in us even they don t spare short term b1,"  (0, 569)	0.1887173477497892
  (0, 2102)	0.07128580013315736
  (0, 1046)	0.28399882807101823
  (0, 230)	0.30420469604995715
  (0, 1201)	0.2517084084249156
  (0, 954)	0.3303208390287857
  (0, 1117)	0.24189143653004694
  (0, 804)	0.21986125893571998
  (0, 488)	0.30951952184632886
  (0, 1567)	0.3455378895173922
  (0, 1794)	0.33487515784008176
  (0, 1975)	0.30951952184632886
  (0, 197)	0.2892168267212927",Positive,Positive,Positive,Positive,Positive
33,0.5,Positive,0.5,change is in the air when it comes to your relationships with more for leo,"  (0, 330)	0.4698446532876384
  (0, 376)	0.5792359854227416
  (0, 1162)	0.666131875058058",Positive,Negative,Negative,Negative,Negative
34,0.5333333333333333,Positive,0.5333333333333333,facilitating smooth processing of h1bvisa for greater good itserve workinusa trump tcs infosys cognizant itservices twitter com oxopdswy48,"  (0, 898)	0.16939375118403455
  (0, 2046)	0.15859592832577168
  (0, 374)	0.15658219647585186
  (0, 1046)	0.3340805279565982
  (0, 2033)	0.20763601791016575
  (0, 1535)	0.27846496134015747
  (0, 870)	0.4226424810746214
  (0, 855)	0.25286237708865994
  (0, 2172)	0.38857118195645357
  (0, 1958)	0.39392863094064445
  (0, 370)	0.37501530136771094",Positive,Positive,Positive,Positive,Positive
35,0.0,Neutral,0.5,for 2019 uscis proposes further changes to h1b visa program the time of implementation of these changes is not yet set eb5 h1b internationalstudents eb5program eb5visa immigrationpic twitter com 64hppfg1hj,"  (0, 2102)	0.07020898834724466
  (0, 1999)	0.190263893037066
  (0, 2046)	0.13278441501399596
  (0, 374)	0.13109841835248393
  (0, 2080)	0.18542682844634698
  (0, 332)	0.47252519320219905
  (0, 607)	0.2513304403815249
  (0, 31)	0.23499056312477828
  (0, 1542)	0.19675659193113051
  (0, 1785)	0.3021540461448042
  (0, 1062)	0.3347751976773535
  (0, 609)	0.3298166817326662
  (0, 610)	0.3021540461448042
  (0, 1008)	0.32533115844816013",Neutral,Positive,Positive,Positive,Positive
36,-0.10568181818181814,Negative,0.428030303030303,why is there a cap on h1b visas to the us these are guys making 60k a year who have jobs in the tech field they generally bring their families are are way net positive to the economy how can this be bad,"  (0, 2103)	0.10453309793012812
  (0, 2135)	0.2564021957269527
  (0, 299)	0.21921653109598302
  (0, 1092)	0.16745051718436338
  (0, 1963)	0.20111312903734288
  (0, 2192)	0.2020332795037057
  (0, 613)	0.2717360553532137
  (0, 886)	0.3041595914778053
  (0, 1238)	0.2964202624919931
  (0, 53)	0.36817083908844017
  (0, 757)	0.33525390456079796
  (0, 257)	0.2544488657779505
  (0, 738)	0.3196087230905085
  (0, 205)	0.31130985243319537",Negative,Positive,Neutral,Positive,Positive
37,-0.3333333333333333,Negative,0.43333333333333335,that s crazy i needed to come back to france after running out of work visas h1b i was in the us for 10 years as a student intern and worker system is totally broken,"  (0, 2165)	0.16388164764315916
  (0, 2103)	0.10780064512841456
  (0, 451)	0.3740556927908282
  (0, 1340)	0.31722681094373195
  (0, 375)	0.2592054937992226
  (0, 1716)	0.33979677401310765
  (0, 5)	0.29620218957591704
  (0, 2193)	0.22189937715872907
  (0, 1912)	0.30006230123743927
  (0, 2167)	0.255605818840771
  (0, 2013)	0.35241401311087317
  (0, 260)	0.34896927280265233",Negative,Positive,Negative,Neutral,Positive
38,0.0,Neutral,0.45,we re paying 6k for a h1b visa that has a 50 chance of going through in october for a mit mba visas are a much higher tax on small companies,"  (0, 2102)	0.07956181053396053
  (0, 2103)	0.10771337933091688
  (0, 1445)	0.27559317258507726
  (0, 47)	0.3424052039112727
  (0, 328)	0.311720031823662
  (0, 852)	0.24257873328228208
  (0, 1375)	0.36402936441558453
  (0, 1264)	0.3927749866899351
  (0, 941)	0.31516198357704805
  (0, 1956)	0.2868626546344707
  (0, 1827)	0.3424052039112727
  (0, 383)	0.2172851932090491",Neutral,Positive,Positive,Positive,Positive
39,-0.04166666666666666,Negative,0.08333333333333333,it s the same story foreign workers brought in on 85 000 h 1b visas will displace american workers from their jobs americanworkers jobs h1b h1bvisa,"  (0, 2168)	0.32700472143057474
  (0, 898)	0.155606078100432
  (0, 2103)	0.10428739258954484
  (0, 1092)	0.33411384854585696
  (0, 19)	0.17902610383789705
  (0, 127)	0.17472065732982967
  (0, 795)	0.1992933240475013
  (0, 1905)	0.34449122158043954
  (0, 264)	0.3483178197234716
  (0, 59)	0.33151448916382353
  (0, 0)	0.23270235607460818
  (0, 553)	0.34449122158043954
  (0, 130)	0.3483178197234716",Negative,Positive,Positive,Negative,Negative
40,0.0,Neutral,0.0,stop h1b abuse h1babuse h1breform h1b stem greencards visa greencard immigration jobs usamfg reshorenow,"  (0, 1895)	0.4341615798327635
  (0, 2102)	0.12041540018443553
  (0, 1001)	0.23048336281700102
  (0, 1092)	0.2611437878216454
  (0, 874)	0.4009079501855912
  (0, 1900)	0.33372390335137186
  (0, 69)	0.3938846830694582
  (0, 876)	0.49843878640757433",Neutral,Positive,Positive,Positive,Positive
41,0.0,Neutral,0.0,getting a h1b visa,"  (0, 2102)	0.32912185057158294
  (0, 839)	0.9442874601922533",Neutral,Positive,Positive,Positive,Positive
42,0.225,Positive,0.75,lol what controlled opposition are fake republicans that accomplished nothing despite controlling all three branches of government for two years no wall no abortion ban no ban on h1b visas no protection of free speech rights all we got was tax cuts for liberal billionaires,"  (0, 2103)	0.07292431646773188
  (0, 858)	0.18716033309823066
  (0, 860)	0.18774744777594374
  (0, 2193)	0.15010912397267712
  (0, 1956)	0.19421229878109839
  (0, 1200)	0.23839886105641428
  (0, 1403)	0.27148314796074086
  (0, 735)	0.19716142760872427
  (0, 1664)	0.24959754972131756
  (0, 529)	0.2245702528265152
  (0, 2119)	0.17099979374698362
  (0, 206)	0.4399092086599244
  (0, 807)	0.19083537612039234
  (0, 1854)	0.23839886105641428
  (0, 1703)	0.2530388912342887
  (0, 469)	0.2568431177828664
  (0, 1169)	0.24959754972131756
  (0, 232)	0.27148314796074086",Positive,Positive,Positive,Positive,Positive
43,-0.0625,Negative,0.32916666666666666,he is securing our borders limiting the fake foreign workers via h1b visas that take american jobs while california turns into a hot bed of sanctuary cities middle class continue 2 pay the price of housing food stamp ebt medical care to the tune of 35 billion pic twitter com k9ogbn3h48,"  (0, 2168)	0.10926164668105288
  (0, 2046)	0.09735649242808261
  (0, 374)	0.09612033288938247
  (0, 2103)	0.06969081175683424
  (0, 1467)	0.1234381448840793
  (0, 1092)	0.11163700973906172
  (0, 127)	0.11675835532610897
  (0, 231)	0.2179014335570778
  (0, 795)	0.13317921932569815
  (0, 735)	0.188419180360343
  (0, 1759)	0.2495187447975438
  (0, 249)	0.19959170064894124
  (0, 285)	0.21621789169382755
  (0, 2044)	0.25412634744386436
  (0, 1725)	0.2179014335570778
  (0, 350)	0.22782812309633146
  (0, 1291)	0.18698123215624926
  (0, 360)	0.18237362950992864
  (0, 417)	0.21307884103493235
  (0, 1444)	0.16487065683193114
  (0, 972)	0.23853025568353925
  (0, 789)	0.25944543433679745
  (0, 1872)	0.25944543433679745
  (0, 1271)	0.25944543433679745
  (0, 305)	0.21307884103493235
  (0, 42)	0.25412634744386436",Negative,Positive,Positive,Positive,Positive
44,0.14999999999999994,Positive,0.675,honestly i don t give a shit i love my country and it is not that i could not go from education to working in organizations i always had a chance to get h1b visa at least apply for one for my project work in paris but i chose not to 2 6,"  (0, 569)	0.2427197468120205
  (0, 2102)	0.09168458313939809
  (0, 2165)	0.18869929185696596
  (0, 440)	0.2382683640570011
  (0, 328)	0.3592165761707141
  (0, 1792)	0.3945772246091055
  (0, 1219)	0.3573254159139977
  (0, 616)	0.31956777836421274
  (0, 2170)	0.2833318251762755
  (0, 151)	0.2949855171917083
  (0, 1546)	0.39809005834230465",Positive,Positive,Negative,Neutral,Positive
45,0.10714285714285714,Positive,0.7857142857142857,those damn indians shouldn t have created the h1b work visas oh wait they didn t problem is a certain subset of people abusing it not all fyi it is not the only employment industry in usa,"  (0, 2165)	0.13534063967862678
  (0, 2103)	0.08902649246739669
  (0, 1450)	0.16363315472686904
  (0, 1384)	0.2619797892795206
  (0, 2078)	0.17147429987432503
  (0, 1037)	0.17866098395718188
  (0, 475)	0.3089115679870076
  (0, 1796)	0.3135557931587455
  (0, 453)	0.27415686413060386
  (0, 2114)	0.24565394596126439
  (0, 539)	0.25006556177960815
  (0, 1531)	0.23457616424620875
  (0, 322)	0.2830023019995883
  (0, 72)	0.30087494859381064
  (0, 825)	0.30087494859381064
  (0, 640)	0.2083055899229405
  (0, 1041)	0.25628421753638153",Positive,Positive,Positive,Positive,Positive
46,0.85,Positive,1.0,beautiful,,Positive,Positive,Positive,Positive,Positive
47,1.3877787807814454e-17,Positive,0.6375,haha total bs in all counts as if solar and wind are bailed out like dirty coal and the h1b visa program has been a joke for 20 years supposed to be for genius level but the reality is cheap javascript programmers etc,"  (0, 2102)	0.07757325802429904
  (0, 1176)	0.19703377153949753
  (0, 1542)	0.21739452786822985
  (0, 2193)	0.21617812670061778
  (0, 2012)	0.3594553701988168
  (0, 266)	0.33384719444681643
  (0, 22)	0.29637967441984037
  (0, 1937)	0.3698900012790205
  (0, 1167)	0.2949929581421238
  (0, 1605)	0.3433276927265074
  (0, 336)	0.23266224328165688
  (0, 1544)	0.3698900012790205",Positive,Positive,Positive,Neutral,Positive
48,0.4833333333333334,Positive,0.625,a valid h 1b visa is your doorway to a successful career and a bright future in the u s visit workinusa trump tcs infosys cognizant h1bvisa visa jobs immigrationlaw tech india outsourcing news averon avaroninfotech,"  (0, 2102)	0.12050118983591333
  (0, 898)	0.12170854792164888
  (0, 1046)	0.24003515868965336
  (0, 1092)	0.13066491953091988
  (0, 19)	0.14002670978004866
  (0, 1345)	0.19613232454164264
  (0, 1963)	0.15693251513426681
  (0, 2033)	0.1491854218909438
  (0, 1416)	0.21492698717141262
  (0, 2172)	0.2791864162022059
  (0, 1958)	0.28303571602508887
  (0, 370)	0.26944658500581975
  (0, 2092)	0.2791864162022059
  (0, 1925)	0.29204783240462684
  (0, 306)	0.25307103339076387
  (0, 822)	0.2313025387864685
  (0, 2104)	0.25504152563704235
  (0, 1004)	0.2511922258141594
  (0, 1035)	0.15068141068050706
  (0, 192)	0.28729091956256164",Positive,Positive,Positive,Positive,Negative
49,-0.06875,Negative,0.275,measles is endemic in india and if we keep importing h1b visa holders it will soon be endemic in the usa to think we practically eradicated it not long ago that s legal and illegal immigration for ya what s next polio,"  (0, 2102)	0.08321484388405474
  (0, 1001)	0.15927893795404902
  (0, 958)	0.20027124423045342
